Turma;ID Jogador;ID Pergunta;Tema;Dificuldade;Resposta Marcada;Resposta Certa;Acerto
CC2MA;12345;3;Pilhas;2;A;A;Certo
CC2MA;12345;12;Arquivos;3;D;A;Errado
